node_id,ts,provider,cpu,mem,target_cpu_h1,target_cpu,target_cpu_h6,target_mem_h1,target_mem,target_mem_h6,cpu_lag_1,mem_lag_1,cpu_lag_3,mem_lag_3,cpu_lag_6,mem_lag_6,cpu_lag_18,mem_lag_18,cpu_lag_36,mem_lag_36,cpu_lag_144,mem_lag_144,cpu_roll_mean_3,cpu_roll_std_3,cpu_roll_max_3,cpu_roll_min_3,mem_roll_mean_3,mem_roll_std_3,mem_roll_max_3,mem_roll_min_3,cpu_roll_mean_6,cpu_roll_std_6,cpu_roll_max_6,cpu_roll_min_6,mem_roll_mean_6,mem_roll_std_6,mem_roll_max_6,mem_roll_min_6,cpu_roll_mean_18,cpu_roll_std_18,cpu_roll_max_18,cpu_roll_min_18,mem_roll_mean_18,mem_roll_std_18,mem_roll_max_18,mem_roll_min_18,cpu_roll_mean_36,cpu_roll_std_36,cpu_roll_max_36,cpu_roll_min_36,mem_roll_mean_36,mem_roll_std_36,mem_roll_max_36,mem_roll_min_36,cpu_roc_1,cpu_roc_6,cpu_roc_18,mem_roc_1,mem_roc_6,mem_roc_18,hour_sin,hour_cos,dow_sin,dow_cos,cpu_mem_ratio,mem_cpu_gap,sla_breach
m_1932,645000,alibaba,0.5957446808510638,0.9368421052631579,52.0,55.0,56.0,90.0,91.0,90.0,0.6276595744680851,0.9473684210526316,0.6808510638297872,0.9578947368421052,0.7021276595744681,0.96875,0.7446808510638298,0.9375,0.4361702127659574,0.9270833333333334,0.6170212765957447,0.96875,0.6653846153846152,0.03326213353684114,0.6276595744680851,0.6511627906976745,0.9403508771929824,0.012658227848099895,0.9473684210526316,0.9368421052631579,0.6986301369863013,0.11222677980647398,0.6808510638297872,0.6666666666666666,0.9456140350877192,0.017470159220647558,0.9578947368421052,0.9368421052631579,0.6145287958115183,0.351907799892025,0.7021276595744681,0.42168674698795183,0.9616724738675957,0.04193130038136318,1.0,0.9375,0.5742574257425743,0.40277286765549947,0.7446808510638298,0.4375,0.9428985507246377,0.06499546502368968,1.0,0.8958333333333334,0.49056603773584906,0.44720496894409933,0.4259259259259259,0.8210526315789474,0.7669902912621359,0.7809523809523811,0.6082198069690516,0.011851996440033374,0.5,1.0,0.17230770272189336,0.5955882352941176,0
m_1932,645070,alibaba,0.5531914893617021,0.9263157894736842,53.0,56.0,55.0,90.0,91.0,90.0,0.5957446808510638,0.9368421052631579,0.6170212765957447,0.9368421052631579,0.5957446808510638,0.9479166666666666,0.5744680851063829,0.9791666666666666,0.40425531914893614,0.8958333333333334,0.6276595744680851,0.96875,0.6423076923076922,0.07647191129018978,0.6276595744680851,0.6046511627906976,0.9368421052631579,0.02192469376669387,0.9473684210526316,0.9263157894736842,0.6908023483365949,0.14250351625761978,0.6808510638297872,0.6190476190476191,0.9421052631578948,0.024340493113859857,0.9578947368421052,0.9263157894736842,0.6132198952879582,0.3515285504774144,0.7021276595744681,0.42168674698795183,0.9587688734030196,0.04511909791956654,1.0,0.9270833333333334,0.5788778877887789,0.39791766924229877,0.7446808510638298,0.4375,0.9437681159420291,0.06209382927800248,1.0,0.8958333333333334,0.48427672955974843,0.48447204968944096,0.49999999999999994,0.8210526315789474,0.7766990291262136,0.7333333333333334,0.6057334767995057,0.011307425998830667,0.5,1.0,0.16177778753580235,0.6176470588235294,0
m_1932,645120,alibaba,0.5638297872340425,0.9263157894736842,55.0,58.0,53.0,91.0,91.0,90.0,0.5531914893617021,0.9263157894736842,0.6276595744680851,0.9473684210526316,0.6808510638297872,0.9479166666666666,0.46808510638297873,0.9791666666666666,0.4574468085106383,0.90625,0.5957446808510638,0.9479166666666666,0.6192307692307691,0.04532864729079016,0.5957446808510638,0.6046511627906976,0.9298245614035088,0.012658227848099895,0.9368421052631579,0.9263157894736842,0.6692759295499021,0.1338382445563694,0.6808510638297872,0.6190476190476191,0.9385964912280702,0.027130908129683353,0.9578947368421052,0.9263157894736842,0.6191099476439791,0.34414049497763727,0.7021276595744681,0.42168674698795183,0.9558652729384435,0.04692794928736443,1.0,0.9270833333333334,0.5821782178217821,0.3970650720167119,0.7446808510638298,0.4375,0.9443478260869567,0.06036790586371825,1.0,0.8958333333333334,0.5157232704402516,0.4409937888198757,0.5679012345679012,0.8315789473684211,0.7766990291262136,0.7333333333333334,0.6039558454088797,0.010926199633097156,0.5,1.0,0.16488889883456778,0.6102941176470589,0
m_1932,645150,alibaba,0.5851063829787234,0.9368421052631579,56.0,56.0,42.0,91.0,90.0,90.0,0.5638297872340425,0.9263157894736842,0.5957446808510638,0.9368421052631579,0.6808510638297872,0.9583333333333334,0.5212765957446809,0.9791666666666666,0.44680851063829785,0.8958333333333334,0.648936170212766,0.90625,0.6153846153846153,0.03326213353683764,0.5851063829787234,0.6046511627906976,0.9298245614035088,0.012658227848099895,0.9368421052631579,0.9263157894736842,0.6516634050880625,0.08364890284772242,0.6276595744680851,0.6190476190476191,0.9350877192982456,0.017470159220633687,0.9473684210526316,0.9263157894736842,0.6230366492146596,0.3431944191522141,0.7021276595744681,0.42168674698795183,0.9535423925667827,0.045778518880394393,1.0,0.9270833333333334,0.5864686468646865,0.39618718618243803,0.7446808510638298,0.4375,0.9455072463768116,0.056641114752853994,1.0,0.90625,0.5220125786163522,0.45341614906832295,0.5493827160493827,0.8421052631578948,0.7766990291262136,0.742857142857143,0.6028886053461173,0.010700567249530779,0.5,1.0,0.1692307794590024,0.6029411764705883,0
m_1932,645170,alibaba,0.5957446808510638,0.9368421052631579,58.0,55.0,45.0,91.0,90.0,91.0,0.5851063829787234,0.9368421052631579,0.5531914893617021,0.9263157894736842,0.6170212765957447,0.9375,0.4787234042553191,0.9999999999999999,0.4574468085106383,0.90625,0.6063829787234042,0.9791666666666666,0.6307692307692306,0.033262133536838746,0.5957446808510638,0.6162790697674418,0.9333333333333335,0.012658227848099895,0.9368421052631579,0.9263157894736842,0.6477495107632093,0.07584987234475576,0.6276595744680851,0.6190476190476191,0.9350877192982456,0.017470159220633687,0.9473684210526316,0.9263157894736842,0.6302356020942409,0.33665222827298935,0.7021276595744681,0.42168674698795183,0.9500580720092915,0.03637465392934968,0.9789473684210527,0.9270833333333334,0.5907590759075908,0.39613337486722816,0.7446808510638298,0.4375,0.9463768115942031,0.05412536342350214,1.0,0.90625,0.5157232704402516,0.49689440993788814,0.5802469135802468,0.8315789473684211,0.7961165048543689,0.7238095238095239,0.6021768395943601,0.010551439423397202,0.5,1.0,0.17230770272189336,0.5955882352941176,0
m_1932,645230,alibaba,0.6170212765957447,0.9368421052631579,56.0,53.0,49.0,90.0,90.0,91.0,0.5957446808510638,0.9368421052631579,0.5638297872340425,0.9263157894736842,0.6276595744680851,0.9479166666666666,0.4787234042553191,0.9583333333333334,0.4148936170212766,0.90625,0.6702127659574468,0.9791666666666666,0.6499999999999999,0.03326213353684011,0.6170212765957447,0.6395348837209303,0.9368421052631579,0.0,0.9368421052631579,0.9368421052631579,0.6457925636007827,0.06691912227817204,0.6170212765957447,0.6190476190476191,0.9333333333333335,0.011984430354177676,0.9368421052631579,0.9263157894736842,0.6387434554973822,0.32974025676592295,0.7021276595744681,0.42168674698795183,0.9488966318234611,0.03673901681916224,0.9789473684210527,0.9270833333333334,0.597029702970297,0.39331809309796045,0.7446808510638298,0.4375,0.9472463768115943,0.051389515288775243,1.0,0.90625,0.5220125786163522,0.5031055900621118,0.5925925925925926,0.8315789473684211,0.7864077669902912,0.761904761904762,0.6000402514957197,0.010110269468043276,0.5,1.0,0.17846154924767527,0.5808823529411765,0
m_1932,645250,alibaba,0.5957446808510638,0.9263157894736842,55.0,42.0,53.0,90.0,90.0,92.0,0.6170212765957447,0.9368421052631579,0.5851063829787234,0.9368421052631579,0.5957446808510638,0.9375,0.5106382978723404,0.9583333333333334,0.6382978723404256,0.9166666666666666,0.6170212765957447,0.9583333333333334,0.6538461538461537,0.025143809546832638,0.6170212765957447,0.6511627906976745,0.9333333333333335,0.012658227848099895,0.9368421052631579,0.9263157894736842,0.6457925636007827,0.06691912227817204,0.6170212765957447,0.6190476190476191,0.9315789473684211,0.012711407958149458,0.9368421052631579,0.9263157894736842,0.643979057591623,0.3252600203944987,0.7021276595744681,0.42168674698795183,0.9471544715447153,0.038422583483448944,0.9789473684210527,0.9270833333333334,0.5957095709570956,0.3901814327421875,0.7446808510638298,0.4375,0.9475362318840581,0.05042254670220275,1.0,0.90625,0.4968553459119497,0.5093167701863354,0.5617283950617283,0.8210526315789474,0.7864077669902912,0.7523809523809525,0.599327630203645,0.009965285027552395,0.5,1.0,0.17422223273086407,0.5882352941176471,0
m_1932,645270,alibaba,0.5851063829787234,0.9263157894736842,53.0,45.0,49.0,90.0,91.0,92.0,0.5957446808510638,0.9263157894736842,0.5957446808510638,0.9368421052631579,0.5531914893617021,0.9270833333333334,0.39361702127659576,0.9479166666666666,0.4148936170212766,0.9270833333333334,0.7234042553191489,0.9166666666666666,0.6499999999999999,0.03326213353684011,0.6170212765957447,0.6395348837209303,0.9298245614035088,0.012658227848099895,0.9368421052631579,0.9263157894736842,0.6516634050880625,0.05018934170861684,0.6170212765957447,0.6309523809523809,0.9315789473684211,0.012711407958149458,0.9368421052631579,0.9263157894736842,0.6557591623036649,0.2846643006566919,0.7021276595744681,0.42168674698795183,0.9459930313588849,0.040229024755630095,0.9789473684210527,0.9270833333333334,0.6009900990099011,0.3847188319242155,0.7446808510638298,0.4375,0.9475362318840581,0.05042254670220275,1.0,0.90625,0.5031446540880503,0.5279503105590062,0.6234567901234567,0.8315789473684211,0.7961165048543689,0.761904761904762,0.5986147987940629,0.009821337205701608,0.5,1.0,0.1711111214320986,0.5955882352941176,0
m_1932,645290,alibaba,0.5638297872340425,0.9263157894736842,42.0,49.0,53.0,90.0,91.0,92.0,0.5851063829787234,0.9263157894736842,0.6170212765957447,0.9368421052631579,0.5638297872340425,0.9270833333333334,0.3723404255319149,0.9583333333333334,0.425531914893617,0.9270833333333334,0.6595744680851063,0.8645833333333334,0.6307692307692306,0.033262133536838746,0.5957446808510638,0.6162790697674418,0.9263157894736842,0.0,0.9263157894736842,0.9263157894736842,0.6516634050880625,0.05018934170861684,0.6170212765957447,0.6309523809523809,0.9315789473684211,0.012711407958149458,0.9368421052631579,0.9263157894736842,0.6675392670157068,0.21947681167463004,0.7021276595744681,0.45783132530120485,0.9442508710801394,0.04096723357265209,0.9789473684210527,0.9270833333333334,0.6052805280528053,0.37900595632691064,0.7446808510638298,0.4375,0.9475362318840581,0.05042254670220275,1.0,0.90625,0.4968553459119497,0.5093167701863354,0.6234567901234567,0.8315789473684211,0.7961165048543689,0.7523809523809525,0.5979017587748957,0.009678426306997834,0.5,1.0,0.16488889883456778,0.6102941176470589,0
m_1932,645430,alibaba,0.44680851063829785,0.9263157894736842,45.0,53.0,60.0,91.0,92.0,94.0,0.5638297872340425,0.9263157894736842,0.5957446808510638,0.9263157894736842,0.5851063829787234,0.9375,0.40425531914893614,0.9583333333333334,0.3829787234042553,0.90625,0.776595744680851,0.8854166666666666,0.5769230769230769,0.15242624470827007,0.5851063829787234,0.4883720930232558,0.9263157894736842,0.0,0.9263157894736842,0.9263157894736842,0.6262230919765166,0.1766997139332449,0.6170212765957447,0.5,0.9298245614035088,0.011984430354170768,0.9368421052631579,0.9263157894736842,0.6701570680628272,0.19519018418797637,0.7021276595744681,0.5060240963855422,0.9425087108013936,0.0412103646897876,0.9789473684210527,0.9270833333333334,0.6072607260726073,0.3714365530934784,0.7446808510638298,0.4375,0.9481159420289855,0.04798073311808294,1.0,0.9270833333333334,0.44025157232704404,0.42857142857142855,0.537037037037037,0.8315789473684211,0.7864077669902912,0.7523809523809525,0.592904764329689,0.008707108981979128,0.5,1.0,0.13066667454814804,0.6911764705882353,0
